Prompt,Category
Settled the maintenance charges for my society.,Utilities
Bought gold jewelry from Tanishq.,Shopping
Bought organic groceries from Nature’s Basket.,Groceries
Bought a monthly metro pass for Chennai Metro.,Transportation
Bought gold jewelry from Tanishq.,Shopping
Ordered biryani from Paradise Biryani House.,Dining
Paid for car parking at Phoenix Mall.,Transportation
Renewed my YouTube Premium plan.,Subscriptions
Rented a self-drive Zoomcar for a weekend trip.,Travel
Purchased a laptop from Vijay Sales.,Shopping
Paid the DTH recharge for Tata Sky.,Utilities
Reserved a flight ticket via MakeMyTrip.,Travel
Bought a silk saree from Nalli Silks.,Shopping
Renewed my Tata Sky DTH subscription.,Subscriptions
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Paid for a Zee5 yearly subscription.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Paid the BSNL landline bill.,Utilities
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Had a masala dosa from Saravana Bhavan.,Dining
Purchased a Kindle book from Amazon.,Entertainment
Bought an annual Amazon Prime membership.,Subscriptions
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Took an auto-rickshaw to the office.,Travel
Renewed my Tata Sky DTH subscription.,Subscriptions
Went to an amusement park in Essel World.,Entertainment
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Refueled my car at an Indian Oil petrol pump.,Transportation
Took an e-rickshaw ride in Delhi.,Transportation
Had a masala dosa from Saravana Bhavan.,Dining
Refilled CNG in my vehicle at an HP station.,Transportation
Bought a monthly metro pass for Chennai Metro.,Transportation
Got a designer lehenga from Manyavar.,Shopping
Booked an Uber to the railway station.,Travel
Bought an annual Amazon Prime membership.,Subscriptions
Bought medicines from Apollo Pharmacy.,Healthcare
Took an auto-rickshaw to the office.,Travel
Took an e-rickshaw ride in Delhi.,Transportation
Paid for excess baggage at Mumbai Airport.,Travel
Picked up sportswear from Decathlon.,Shopping
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid security deposit for a new flat in Pune.,Rent
Hired an Ola cab for an outstation trip.,Travel
Paid the BSNL landline bill.,Utilities
Got eye checkup and glasses from Lenskart.,Healthcare
Settled rental agreement paperwork costs.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Picked up sportswear from Decathlon.,Shopping
Bought a monthly metro pass for Chennai Metro.,Transportation
Purchased a fitness band from Cult.fit.,Healthcare
Took an e-rickshaw ride in Delhi.,Transportation
Bought a monthly metro pass for Chennai Metro.,Transportation
Booked a Volvo bus to Bangalore via RedBus.,Travel
Went for a fine dining experience at Taj Vivanta.,Dining
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Paid security deposit for a new flat in Pune.,Rent
Bought ethnic wear from Fabindia.,Shopping
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Had chai and samosas at a local tea stall.,Dining
Transferred rent for my Bangalore apartment.,Rent
Bought a Spotify Premium annual plan.,Entertainment
Bought ethnic wear from Fabindia.,Shopping
Bought an annual Amazon Prime membership.,Subscriptions
Got a Kurti from Biba for an event.,Shopping
Paid the BSNL landline bill.,Utilities
Transferred rent to the landlord via Google Pay.,Rent
Bought an AC chair car ticket from IRCTC.,Travel
Got a designer lehenga from Manyavar.,Shopping
Purchased a Kindle book from Amazon.,Entertainment
Bought organic groceries from Nature’s Basket.,Groceries
Upgraded my Netflix plan to premium.,Subscriptions
Ordered chaat and golgappa from a famous local vendor.,Dining
Had a masala dosa from Saravana Bhavan.,Dining
Ordered chaat and golgappa from a famous local vendor.,Dining
Bought an AC chair car ticket from IRCTC.,Travel
Made an early EMI payment for home loan.,Rent
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Renewed my Tata Sky DTH subscription.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Paid for excess baggage at Mumbai Airport.,Travel
Renewed my YouTube Premium plan.,Subscriptions
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Renewed my YouTube Premium plan.,Subscriptions
Paid my LPG gas bill for Indane.,Utilities
Ordered biryani from Paradise Biryani House.,Dining
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Upgraded my Netflix plan to premium.,Subscriptions
Bought a gaming mouse from Flipkart.,Entertainment
Renewed my YouTube Premium plan.,Subscriptions
Bought a gaming mouse from Flipkart.,Entertainment
Signed up for a Udemy course on Python.,Subscriptions
Stopped by a local kirana shop for daily essentials.,Groceries
Paid for a trekking adventure in Himachal.,Entertainment
Paid the BSNL landline bill.,Utilities
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Paid for a Zee5 yearly subscription.,Subscriptions
Ordered a smartwatch from Croma online.,Shopping
Bought first-aid essentials from MedPlus.,Healthcare
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Paid the DTH recharge for Tata Sky.,Utilities
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Got fresh paneer and vegetables from the local mandi.,Groceries
Paid additional maintenance charges for my rented house.,Rent
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid for a train sleeper class ticket on IRCTC.,Travel
Bought ethnic wear from Fabindia.,Shopping
Ordered chaat and golgappa from a famous local vendor.,Dining
Bought a subscription to Economic Times online.,Subscriptions
Cleared municipal water tax online.,Utilities
Went for a fine dining experience at Taj Vivanta.,Dining
Booked an auto ride via Rapido.,Transportation
Ordered grocery essentials from Jiomart online.,Groceries
Transferred rent for my Bangalore apartment.,Rent
Paid for an annual membership of Times of India e-paper.,Subscriptions
Transferred rent for my Bangalore apartment.,Rent
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Reserved a flight ticket via MakeMyTrip.,Travel
Purchased a Kindle book from Amazon.,Entertainment
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Paid rent for my co-living space at Zolo.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Renewed Cult.fit gym membership for six months.,Subscriptions
Purchased a fitness band from Cult.fit.,Healthcare
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Paid the BSNL landline bill.,Utilities
Attended a music concert at NSCI Dome.,Entertainment
Bought a subscription to Economic Times online.,Subscriptions
Bought medicines from Apollo Pharmacy.,Healthcare
Paid for excess baggage at Mumbai Airport.,Travel
Paid security deposit for a new flat in Pune.,Rent
Ordered a smartwatch from Croma online.,Shopping
Paid additional maintenance charges for my rented house.,Rent
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Ordered chaat and golgappa from a famous local vendor.,Dining
Paid for a train sleeper class ticket on IRCTC.,Travel
Attended a stand-up comedy show in Mumbai.,Entertainment
Purchased health insurance from HDFC Ergo.,Healthcare
Upgraded my Netflix plan to premium.,Subscriptions
Had a dosa and filter coffee at MTR Bangalore.,Dining
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Purchased a fitness band from Cult.fit.,Healthcare
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Ordered grocery essentials from Jiomart online.,Groceries
Tried out street food at Sarafa Bazaar in Indore.,Dining
Attended a music concert at NSCI Dome.,Entertainment
Settled rental agreement paperwork costs.,Rent
Transferred rent to the landlord via Google Pay.,Rent
Purchased a Kindle book from Amazon.,Entertainment
Got a Kurti from Biba for an event.,Shopping
Signed up for a Udemy course on Python.,Subscriptions
Recharged my FASTag for highway travel.,Transportation
Went for a fine dining experience at Taj Vivanta.,Dining
Had a masala dosa from Saravana Bhavan.,Dining
Paid security deposit for a new flat in Pune.,Rent
Paid for car parking at Phoenix Mall.,Transportation
Renewed my YouTube Premium plan.,Subscriptions
Upgraded my Netflix plan to premium.,Subscriptions
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Paid for excess baggage at Mumbai Airport.,Travel
Booked a Volvo bus to Bangalore via RedBus.,Travel
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Upgraded my Netflix plan to premium.,Subscriptions
Purchased a laptop from Vijay Sales.,Shopping
Ordered a pair of sneakers from Flipkart.,Shopping
Booked an auto ride via Rapido.,Transportation
Renewed my home inverter battery.,Utilities
Transferred rent to the landlord via Google Pay.,Rent
Transferred rent to the landlord via Google Pay.,Rent
Booked an Uber to the railway station.,Travel
Paid the DTH recharge for Tata Sky.,Utilities
Reserved a flight ticket via MakeMyTrip.,Travel
Paid additional maintenance charges for my rented house.,Rent
Got eye checkup and glasses from Lenskart.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Bought a gaming mouse from Flipkart.,Entertainment
Bought a Delhi Metro smart card recharge.,Travel
Paid additional maintenance charges for my rented house.,Rent
Purchased a fitness band from Cult.fit.,Healthcare
Made an early EMI payment for home loan.,Rent
Cleared my Airtel broadband bill.,Utilities
Booked an online doctor appointment via Practo.,Healthcare
Cleared my Airtel broadband bill.,Utilities
Had chai and samosas at a local tea stall.,Dining
Ordered grocery essentials from Jiomart online.,Groceries
Paid for a Zee5 yearly subscription.,Subscriptions
Paid for a train sleeper class ticket on IRCTC.,Travel
Purchased a fitness band from Cult.fit.,Healthcare
Paid for a Zee5 yearly subscription.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Made an early EMI payment for home loan.,Rent
Reserved a flight ticket via MakeMyTrip.,Travel
Paid for a trekking adventure in Himachal.,Entertainment
Paid PG accommodation fees via NoBroker.,Rent
Signed up for a Udemy course on Python.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Transferred rent to the landlord via Google Pay.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Reserved a flight ticket via MakeMyTrip.,Travel
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Got a designer lehenga from Manyavar.,Shopping
Purchased a laptop from Vijay Sales.,Shopping
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid additional maintenance charges for my rented house.,Rent
Bought a Spotify Premium annual plan.,Entertainment
Had a dental cleaning session at Clove Dental.,Healthcare
Settled lease extension fees for my flat.,Rent
Recharged Jio mobile plan for the month.,Utilities
Hired an Ola cab for an outstation trip.,Travel
Renewed my YouTube Premium plan.,Subscriptions
Purchased a laptop from Vijay Sales.,Shopping
Bought a silk saree from Nalli Silks.,Shopping
Bought ethnic wear from Fabindia.,Shopping
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Had a dosa and filter coffee at MTR Bangalore.,Dining
Paid the DTH recharge for Tata Sky.,Utilities
Booked a Volvo bus to Bangalore via RedBus.,Travel
Got a designer lehenga from Manyavar.,Shopping
Tried out street food at Sarafa Bazaar in Indore.,Dining
Purchased a fitness band from Cult.fit.,Healthcare
Stopped by a local kirana shop for daily essentials.,Groceries
Transferred rent for my Bangalore apartment.,Rent
Made an early EMI payment for home loan.,Rent
Paid toll tax on Mumbai-Pune Expressway.,Transportation
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Reserved a flight ticket via MakeMyTrip.,Travel
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Picked up sportswear from Decathlon.,Shopping
Paid for a trekking adventure in Himachal.,Entertainment
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Purchased a fitness band from Cult.fit.,Healthcare
Upgraded my Netflix plan to premium.,Subscriptions
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought a silk saree from Nalli Silks.,Shopping
Bought a gaming mouse from Flipkart.,Entertainment
Paid for a train sleeper class ticket on IRCTC.,Travel
Attended a stand-up comedy show in Mumbai.,Entertainment
Reserved a flight ticket via MakeMyTrip.,Travel
Renewed my YouTube Premium plan.,Subscriptions
Went to an amusement park in Essel World.,Entertainment
Transferred rent to the landlord via Google Pay.,Rent
Paid for a train sleeper class ticket on IRCTC.,Travel
Paid additional maintenance charges for my rented house.,Rent
Cleared my Airtel broadband bill.,Utilities
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Covered plumbing repair costs for a leakage issue.,Utilities
Went for a fine dining experience at Taj Vivanta.,Dining
Cleared monthly rent through UPI transfer.,Rent
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Bought medicines from Apollo Pharmacy.,Healthcare
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Cleared my Airtel broadband bill.,Utilities
Settled lease extension fees for my flat.,Rent
Bought an annual Amazon Prime membership.,Subscriptions
Transferred rent for my Bangalore apartment.,Rent
Ordered biryani from Paradise Biryani House.,Dining
Settled the maintenance charges for my society.,Utilities
Settled the maintenance charges for my society.,Utilities
Renewed my home inverter battery.,Utilities
Signed up for a Udemy course on Python.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid for a trekking adventure in Himachal.,Entertainment
Bought a Delhi Metro smart card recharge.,Travel
Paid electricity bill via Paytm.,Utilities
Hired an Ola cab for an outstation trip.,Travel
Refueled my car at an Indian Oil petrol pump.,Transportation
Bought an annual Amazon Prime membership.,Subscriptions
Bought a monthly metro pass for Chennai Metro.,Transportation
Got eye checkup and glasses from Lenskart.,Healthcare
Upgraded my Netflix plan to premium.,Subscriptions
Settled the maintenance charges for my society.,Utilities
Refilled CNG in my vehicle at an HP station.,Transportation
Purchased a fitness band from Cult.fit.,Healthcare
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Purchased a laptop from Vijay Sales.,Shopping
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Watched a play at Prithvi Theatre.,Entertainment
Signed up for a Udemy course on Python.,Subscriptions
Cleared municipal water tax online.,Utilities
Paid the BSNL landline bill.,Utilities
Cleared my Airtel broadband bill.,Utilities
Got fresh paneer and vegetables from the local mandi.,Groceries
Ordered grocery essentials from Jiomart online.,Groceries
Purchased a laptop from Vijay Sales.,Shopping
Ordered a pair of sneakers from Flipkart.,Shopping
Ordered a pair of sneakers from Flipkart.,Shopping
Bought a gaming mouse from Flipkart.,Entertainment
Ordered biryani from Paradise Biryani House.,Dining
Bought an annual Amazon Prime membership.,Subscriptions
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Bought a gaming mouse from Flipkart.,Entertainment
Purchased health insurance from HDFC Ergo.,Healthcare
Signed up for a Udemy course on Python.,Subscriptions
Booked an online doctor appointment via Practo.,Healthcare
Took an e-rickshaw ride in Delhi.,Transportation
Settled lease extension fees for my flat.,Rent
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Cleared my Airtel broadband bill.,Utilities
Refilled CNG in my vehicle at an HP station.,Transportation
Purchased a fitness band from Cult.fit.,Healthcare
Bought organic groceries from Nature’s Basket.,Groceries
Renewed my YouTube Premium plan.,Subscriptions
Picked up sportswear from Decathlon.,Shopping
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Cleared municipal water tax online.,Utilities
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Had chai and samosas at a local tea stall.,Dining
Cleared my Airtel broadband bill.,Utilities
Had chai and samosas at a local tea stall.,Dining
Bought a monthly metro pass for Chennai Metro.,Transportation
Paid electricity bill via Paytm.,Utilities
Paid security deposit for a new flat in Pune.,Rent
Transferred rent to the landlord via Google Pay.,Rent
Renewed my Tata Sky DTH subscription.,Subscriptions
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Settled the maintenance charges for my society.,Utilities
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Transferred rent to the landlord via Google Pay.,Rent
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought gold jewelry from Tanishq.,Shopping
Paid rent for my co-living space at Zolo.,Rent
Booked an auto ride via Rapido.,Transportation
Booked an online doctor appointment via Practo.,Healthcare
Paid electricity bill via Paytm.,Utilities
Rented a self-drive Zoomcar for a weekend trip.,Travel
Paid PG accommodation fees via NoBroker.,Rent
Settled rental agreement paperwork costs.,Rent
Ordered a full South Indian thali from Swiggy.,Dining
Rented a self-drive Zoomcar for a weekend trip.,Travel
Took an auto-rickshaw to the office.,Travel
Ordered grocery essentials from Jiomart online.,Groceries
Had chai and samosas at a local tea stall.,Dining
Recharged Jio mobile plan for the month.,Utilities
Ordered grocery essentials from Jiomart online.,Groceries
Bought an annual Amazon Prime membership.,Subscriptions
Renewed Cult.fit gym membership for six months.,Subscriptions
Transferred rent to the landlord via Google Pay.,Rent
Renewed my Tata Sky DTH subscription.,Subscriptions
Renewed my YouTube Premium plan.,Subscriptions
Paid my LPG gas bill for Indane.,Utilities
Bought an annual Amazon Prime membership.,Subscriptions
Paid PG accommodation fees via NoBroker.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Renewed my YouTube Premium plan.,Subscriptions
Attended a music concert at NSCI Dome.,Entertainment
Paid my LPG gas bill for Indane.,Utilities
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Transferred rent for my Bangalore apartment.,Rent
Got fresh paneer and vegetables from the local mandi.,Groceries
Bought an AC chair car ticket from IRCTC.,Travel
Paid for a trekking adventure in Himachal.,Entertainment
Had a masala dosa from Saravana Bhavan.,Dining
Refilled CNG in my vehicle at an HP station.,Transportation
Got eye checkup and glasses from Lenskart.,Healthcare
Paid for excess baggage at Mumbai Airport.,Travel
Bought a silk saree from Nalli Silks.,Shopping
Stopped by a local kirana shop for daily essentials.,Groceries
Bought an annual Amazon Prime membership.,Subscriptions
Had chai and samosas at a local tea stall.,Dining
Bought a monthly metro pass for Chennai Metro.,Transportation
Watched a play at Prithvi Theatre.,Entertainment
Paid for an annual membership of Times of India e-paper.,Subscriptions
Bought a Spotify Premium annual plan.,Entertainment
Purchased a laptop from Vijay Sales.,Shopping
Bought a gaming mouse from Flipkart.,Entertainment
Paid additional maintenance charges for my rented house.,Rent
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Watched a play at Prithvi Theatre.,Entertainment
Made an early EMI payment for home loan.,Rent
Paid additional maintenance charges for my rented house.,Rent
Tried out street food at Sarafa Bazaar in Indore.,Dining
Got a designer lehenga from Manyavar.,Shopping
Cleared municipal water tax online.,Utilities
Bought medicines from Apollo Pharmacy.,Healthcare
Tried out street food at Sarafa Bazaar in Indore.,Dining
Made an early EMI payment for home loan.,Rent
Attended a stand-up comedy show in Mumbai.,Entertainment
Bought gold jewelry from Tanishq.,Shopping
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Renewed my Tata Sky DTH subscription.,Subscriptions
Signed up for a Udemy course on Python.,Subscriptions
Got a Kurti from Biba for an event.,Shopping
Attended a music concert at NSCI Dome.,Entertainment
Refilled CNG in my vehicle at an HP station.,Transportation
Transferred rent to the landlord via Google Pay.,Rent
Ordered a pair of sneakers from Flipkart.,Shopping
Went for a fine dining experience at Taj Vivanta.,Dining
Renewed Cult.fit gym membership for six months.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Had a dosa and filter coffee at MTR Bangalore.,Dining
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Ordered a smartwatch from Croma online.,Shopping
Got fresh paneer and vegetables from the local mandi.,Groceries
Bought first-aid essentials from MedPlus.,Healthcare
Paid the BSNL landline bill.,Utilities
Paid for a Zee5 yearly subscription.,Subscriptions
Renewed Cult.fit gym membership for six months.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Renewed my Tata Sky DTH subscription.,Subscriptions
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Bought an AC chair car ticket from IRCTC.,Travel
Renewed my home inverter battery.,Utilities
Covered plumbing repair costs for a leakage issue.,Utilities
Paid PG accommodation fees via NoBroker.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Made an early EMI payment for home loan.,Rent
Bought a gaming mouse from Flipkart.,Entertainment
Ordered biryani from Paradise Biryani House.,Dining
Bought gold jewelry from Tanishq.,Shopping
Ordered grocery essentials from Jiomart online.,Groceries
Cleared my Airtel broadband bill.,Utilities
Paid for a train sleeper class ticket on IRCTC.,Travel
Had a masala dosa from Saravana Bhavan.,Dining
Signed up for a Udemy course on Python.,Subscriptions
Paid for car parking at Phoenix Mall.,Transportation
Paid additional maintenance charges for my rented house.,Rent
Picked up sportswear from Decathlon.,Shopping
Paid for car parking at Phoenix Mall.,Transportation
Paid PG accommodation fees via NoBroker.,Rent
Paid for a Zee5 yearly subscription.,Subscriptions
Got fresh paneer and vegetables from the local mandi.,Groceries
Refilled CNG in my vehicle at an HP station.,Transportation
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Covered plumbing repair costs for a leakage issue.,Utilities
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Paid for an annual membership of Times of India e-paper.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Purchased a laptop from Vijay Sales.,Shopping
Paid the BSNL landline bill.,Utilities
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Had a dental cleaning session at Clove Dental.,Healthcare
Got a Kurti from Biba for an event.,Shopping
Got a designer lehenga from Manyavar.,Shopping
Renewed my Tata Sky DTH subscription.,Subscriptions
Paid for car parking at Phoenix Mall.,Transportation
Purchased a Kindle book from Amazon.,Entertainment
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Paid my LPG gas bill for Indane.,Utilities
Cleared municipal water tax online.,Utilities
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Renewed my YouTube Premium plan.,Subscriptions
Got fresh paneer and vegetables from the local mandi.,Groceries
Covered plumbing repair costs for a leakage issue.,Utilities
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Paid security deposit for a new flat in Pune.,Rent
Had a dental cleaning session at Clove Dental.,Healthcare
Ordered chaat and golgappa from a famous local vendor.,Dining
Bought a subscription to Economic Times online.,Subscriptions
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Had a masala dosa from Saravana Bhavan.,Dining
Tried out street food at Sarafa Bazaar in Indore.,Dining
Went for a fine dining experience at Taj Vivanta.,Dining
Bought a Delhi Metro smart card recharge.,Travel
Bought a subscription to Economic Times online.,Subscriptions
Ordered chaat and golgappa from a famous local vendor.,Dining
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Had chai and samosas at a local tea stall.,Dining
Signed up for a Udemy course on Python.,Subscriptions
Got a Kurti from Biba for an event.,Shopping
Bought organic groceries from Nature’s Basket.,Groceries
Renewed Cult.fit gym membership for six months.,Subscriptions
Paid for an annual membership of Times of India e-paper.,Subscriptions
Ordered a smartwatch from Croma online.,Shopping
Cleared my Airtel broadband bill.,Utilities
Got a Kurti from Biba for an event.,Shopping
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Recharged Jio mobile plan for the month.,Utilities
Got eye checkup and glasses from Lenskart.,Healthcare
Bought a gaming mouse from Flipkart.,Entertainment
Hired an Ola cab for an outstation trip.,Travel
Renewed my Tata Sky DTH subscription.,Subscriptions
Ordered chaat and golgappa from a famous local vendor.,Dining
Purchased a Kindle book from Amazon.,Entertainment
Renewed Cult.fit gym membership for six months.,Subscriptions
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Booked an Uber to the railway station.,Travel
Attended a stand-up comedy show in Mumbai.,Entertainment
Went for a fine dining experience at Taj Vivanta.,Dining
Recharged my FASTag for highway travel.,Transportation
Renewed my Tata Sky DTH subscription.,Subscriptions
Upgraded my Netflix plan to premium.,Subscriptions
Paid for a Zee5 yearly subscription.,Subscriptions
Purchased health insurance from HDFC Ergo.,Healthcare
Paid the BSNL landline bill.,Utilities
Purchased health insurance from HDFC Ergo.,Healthcare
Transferred rent for my Bangalore apartment.,Rent
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Renewed my Tata Sky DTH subscription.,Subscriptions
Got fresh paneer and vegetables from the local mandi.,Groceries
Transferred rent to the landlord via Google Pay.,Rent
Ordered a smartwatch from Croma online.,Shopping
Took an e-rickshaw ride in Delhi.,Transportation
Bought a gaming mouse from Flipkart.,Entertainment
Stopped by a local kirana shop for daily essentials.,Groceries
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Picked up sportswear from Decathlon.,Shopping
Transferred rent to the landlord via Google Pay.,Rent
Bought a silk saree from Nalli Silks.,Shopping
Bought first-aid essentials from MedPlus.,Healthcare
Booked an Uber to the railway station.,Travel
Had a dental cleaning session at Clove Dental.,Healthcare
Ordered a full South Indian thali from Swiggy.,Dining
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Booked an Uber to the railway station.,Travel
Paid for a Zee5 yearly subscription.,Subscriptions
Purchased a laptop from Vijay Sales.,Shopping
Paid for a trekking adventure in Himachal.,Entertainment
Renewed my YouTube Premium plan.,Subscriptions
Transferred rent to the landlord via Google Pay.,Rent
Transferred rent for my Bangalore apartment.,Rent
Bought first-aid essentials from MedPlus.,Healthcare
Settled rental agreement paperwork costs.,Rent
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Booked an Uber to the railway station.,Travel
Rented a self-drive Zoomcar for a weekend trip.,Travel
Ordered a pair of sneakers from Flipkart.,Shopping
Bought a subscription to Economic Times online.,Subscriptions
Cleared monthly rent through UPI transfer.,Rent
Booked an Uber to the railway station.,Travel
Transferred rent for my Bangalore apartment.,Rent
Bought an AC chair car ticket from IRCTC.,Travel
Ordered a full South Indian thali from Swiggy.,Dining
Got a designer lehenga from Manyavar.,Shopping
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Recharged my FASTag for highway travel.,Transportation
Went to an amusement park in Essel World.,Entertainment
Recharged my FASTag for highway travel.,Transportation
Bought ethnic wear from Fabindia.,Shopping
Transferred rent for my Bangalore apartment.,Rent
Had a dosa and filter coffee at MTR Bangalore.,Dining
Bought first-aid essentials from MedPlus.,Healthcare
Ordered grocery essentials from Jiomart online.,Groceries
Bought a Delhi Metro smart card recharge.,Travel
Paid for a Zee5 yearly subscription.,Subscriptions
Recharged my FASTag for highway travel.,Transportation
Bought a gaming mouse from Flipkart.,Entertainment
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Ordered a full South Indian thali from Swiggy.,Dining
Purchased a Kindle book from Amazon.,Entertainment
Took an auto-rickshaw to the office.,Travel
Paid electricity bill via Paytm.,Utilities
Bought a Delhi Metro smart card recharge.,Travel
Bought first-aid essentials from MedPlus.,Healthcare
Bought an annual Amazon Prime membership.,Subscriptions
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Attended a music concert at NSCI Dome.,Entertainment
Took an e-rickshaw ride in Delhi.,Transportation
Attended a stand-up comedy show in Mumbai.,Entertainment
Hired an Ola cab for an outstation trip.,Travel
Picked up sportswear from Decathlon.,Shopping
Paid my LPG gas bill for Indane.,Utilities
Had chai and samosas at a local tea stall.,Dining
Paid the DTH recharge for Tata Sky.,Utilities
Paid rent for my co-living space at Zolo.,Rent
Had a dental cleaning session at Clove Dental.,Healthcare
Bought an AC chair car ticket from IRCTC.,Travel
Booked an auto ride via Rapido.,Transportation
Cleared my Airtel broadband bill.,Utilities
Had a dosa and filter coffee at MTR Bangalore.,Dining
Went for a fine dining experience at Taj Vivanta.,Dining
Ordered grocery essentials from Jiomart online.,Groceries
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid for a train sleeper class ticket on IRCTC.,Travel
Purchased health insurance from HDFC Ergo.,Healthcare
Paid consultation fees at AIIMS Delhi.,Healthcare
Bought a Delhi Metro smart card recharge.,Travel
Subscribed to Gaana Plus for ad-free music.,Subscriptions
